ID	PREMISE	HYPOTHESIS
BNI1	El hijo oyó que le estaban llamando.	Estaban llamando al hijo.
BNI2	El presidente dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
BNI3	El experto creía que la tendencia había cambiado.	La tendencia había cambiado.
BNI4	La periodista sabía que la noticia era falsa.	La noticia era falsa.
BNI5	El jugador anunció que iba a cambiar de equipo.	El jugador iba a cambiar de equipo.
BNI6	El entrenador sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
BNI7	La escritora intuía que su nueva novela iba a tener éxito.	La nueva novela de la escritora iba a tener éxito.
BNI8	El general creyó que los ataques habían cesado.	Los ataques habían cesado.
BNI9	El cantante sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.

BNI10	El hijo de la actriz oyó que le estaban llamando.	Estaban llamando al hijo de la actriz.
BNI11	El presidente de España dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
BNI12	El experto en epidemias creía que la tendencia había cambiado.	La tendencia había cambiado.
BNI13	La periodista de LaSexta sabía que la noticia era falsa.	La noticia era falsa.
BNI14	El jugador de fútbol anunció que iba a cambiar de equipo.	El jugador de fútbol iba a cambiar de equipo.
BNI15	El entrenador de fútbol sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
BNI16	La autora de literatura juvenil intuía que su nueva novela iba a tener éxito.	La nueva novela de la autora de literatura juvenil iba a tener éxito.
BNI17	El general británico creyó que los ataques habían cesado.	Los ataques habían cesado.
BNI18	El cantante cubano sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.

BNI19	El hijo de Nicole Kidman oyó que le estaban llamando.	Estaban llamando al hijo de Nicole Kidman.
BNI20	José Luis Rodríguez Zapatero dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
BNI21	Fernando Simón creía que la tendencia había cambiado.	La tendencia había cambiado.
BNI22	Ana Pastor sabía que la noticia era falsa.	La noticia era falsa.
BNI23	Sergio Ramos anunció que iba a cambiar de equipo.	Sergio Ramos iba a cambiar de equipo.
BNI24	Julian Lopetegui sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
BNI25	J.K. Rowling intuía que su nueva novela iba a tener éxito.	La nueva novela de J.K. Rowling iba a tener éxito.
BNI26	Bernard Montgomery creyó que los ataques habían cesado.	Los ataques habían cesado.
BNI27	Maykel Osorbo sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
