ID	PREMISE	HYPOTHESIS
BNI1	El hijo oyó que le estaban llamando.	Estaban llamando al hijo.
BNI2	El presidente dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
BNI3	El experto creía que la tendencia había cambiado.	La tendencia había cambiado.
BNI4	La periodista sabía que la noticia era falsa.	La noticia era falsa.
BNI5	El jugador anunció que iba a cambiar de equipo.	El jugador iba a cambiar de equipo.
BNI6	El entrenador sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
BNI7	La escritora intuía que su nueva novela iba a tener éxito.	La nueva novela de la escritora iba a tener éxito.
BNI8	El general creyó que los ataques habían cesado.	Los ataques habían cesado.
BNI9	El cantante sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
BNI10	El hijo de la actriz oyó que le estaban llamando.	Estaban llamando al hijo de la actriz.
BNI11	El presidente de España dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
BNI12	El experto en epidemias creía que la tendencia había cambiado.	La tendencia había cambiado.
BNI13	La periodista de LaSexta sabía que la noticia era falsa.	La noticia era falsa.
BNI14	El jugador de fútbol anunció que iba a cambiar de equipo.	El jugador de fútbol iba a cambiar de equipo.
BNI15	El entrenador de fútbol sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
BNI16	La autora de literatura juvenil intuía que su nueva novela iba a tener éxito.	La nueva novela de la autora de literatura juvenil iba a tener éxito.
BNI17	El general británico creyó que los ataques habían cesado.	Los ataques habían cesado.
BNI18	El cantante cubano sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
BNI19	El hijo de Nicole Kidman oyó que le estaban llamando.	Estaban llamando al hijo de Nicole Kidman.
BNI20	José Luis Rodríguez Zapatero dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
BNI21	Fernando Simón creía que la tendencia había cambiado.	La tendencia había cambiado.
BNI22	Ana Pastor sabía que la noticia era falsa.	La noticia era falsa.
BNI23	Sergio Ramos anunció que iba a cambiar de equipo.	Sergio Ramos iba a cambiar de equipo.
BNI24	Julian Lopetegui sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
BNI25	J.K. Rowling intuía que su nueva novela iba a tener éxito.	La nueva novela de J.K. Rowling iba a tener éxito.
BNI26	Bernard Montgomery creyó que los ataques habían cesado.	Los ataques habían cesado.
BNI27	Maykel Osorbo sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
BNC1	El gobierno dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
BNC2	El comité de expertos creía que la tendencia había cambiado.	La tendencia había cambiado.
BNC3	El periódico sabía que la noticia era falsa.	La noticia era falsa.
BNC4	La junta directiva pensó que la reunión con los abogados había ido bien.	La reunión con los abogados había ido bien. 
BNC5	La familia anunció que había recortado gastos.	La familia había recortado gastos.
BNC6	La universidad anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.
BNC7	El sindicato sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
BNC8	El ministerio comunicó que iba a implementar nuevas medidas.	El ministerio iba a implementar nuevas medidas.
BNC9	El canal de televisión anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.
BNC10	El gobierno nacional dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
BNC11	El comité de expertos del gobierno creía que la tendencia había cambiado.	La tendencia había cambiado.
BNC12	El periódico nacional sabía que la noticia era falsa.	La noticia era falsa.
BNC13	La junta directiva del club de fútbol pensó que la reunión con los abogados había ido bien.	La reunión con los abogados había ido bien. 
BNC14	La familia real anunció que había recortado gastos.	La familia real había recortado gastos.
BNC15	La universidad madrileña anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.
BNC16	El sindicato de la empresa sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
BNC17	El Ministerio de Sanidad comunicó que iba a implementar nuevas medidas.	El Ministerio de Sanidad iba a implementar nuevas medidas.
BNC18	La televisión pública anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.
BNC19	El gobierno español dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
BNC20	El comité de expertos del gobierno español creía que la tendencia había cambiado.	La tendencia había cambiado.
BNC21	La Razón sabía que la noticia era falsa.	La noticia era falsa.
BNC22	La junta directiva del Barça pensó que la reunión con los abogados había ido bien.	La reunión con los abogados había ido bien.
BNC23	La familia real española anunció que había recortado gastos.	La familia real española había recortado gastos.
BNC24	La UCM anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.
BNC25	Comisiones Obreras sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
BNC26	El Ministerio de Sanidad español comunicó que iba a implementar nuevas medidas.	El Ministerio de Sanidad español iba a implementar nuevas medidas.
BNC27	RTVE anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.
BAI1	El presidente dijo la verdad.	El presidente dijo la verdad.
BAI2	El futbolista conocía todas las condiciones del contrato.	El futbolista conocía todas las condiciones del contrato.
BAI3	La madre tenía la solución.	La madre tenía la solución.
BAI4	El director desconocía el historial del actor.	El director desconocía el historial del actor.
BAI5	El actor olvidó el guión.	El actor olvidó el guión.
BAI6	La mujer sospechaba de su marido.	La mujer sospechaba de su marido.
BAI7	El alcalde tenía las llaves de la ciudad.	El alcalde tenía las llaves de la ciudad.
BAI8	El empresario ayudó al gobierno.	El empresario ayudó al gobierno.
BAI9	El médico trabajó hasta la extenuación.	El médico trabajó hasta la extenuación.
BAI10	El presidente del gobierno dijo la verdad.	El presidente del gobierno dijo la verdad.
BAI11	El futbolista del PSG conocía todas las condiciones del contrato.	El futbolista del PSG conocía todas las condiciones del contrato.
BAI12	La madre del famoso tenía la solución.	La madre del famoso tenía la solución.
BAI13	El director español desconocía el historial del actor.	El director español desconocía el historial del actor.
BAI14	El actor español olvidó el guión.	El actor español olvidó el guión.
BAI15	La mujer del futbolista sospechaba de su marido.	La mujer del futbolista sospechaba de su marido.
BAI16	El alcalde de Madrid tenía las llaves de la ciudad.	El alcalde de Madrid tenía las llaves de la ciudad.
BAI17	El empresario español ayudó al gobierno.	El empresario español ayudó al gobierno.
BAI18	El médico italiano trabajó hasta la extenuación.	El médico italiano trabajó hasta la extenuación.
BAI19	José Luis Rodríguez Zapatero dijo la verdad.	José Luis Rodríguez Zapatero dijo la verdad.
BAI20	Sergio Ramos conocía todas las condiciones del contrato.	Sergio Ramos conocía todas las condiciones del contrato.
BAI21	La madre de Ronaldinho tenía la solución.	La madre de Ronaldinho tenía la solución.
BAI22	Alejandro Amenábar desconocía el historial del actor.	Alejandro Amenábar desconocía el historial del actor.
BAI23	Antonio Banderas olvidó el guión.	Antonio Banderas olvidó el guión.
BAI24	La mujer de Xabi Alonso sospechaba de su marido.	La mujer de Xabi Alonso sospechaba de su marido.
BAI25	José Luis Martínez-Almeida tenía las llaves de la ciudad.	José Luis Martínez-Almeida tenía las llaves de la ciudad.
BAI26	Amancio Ortega ayudó al gobierno.	Amancio Ortega ayudó al gobierno.
BAI27	El doctor Carballo trabajó hasta la extenuación.	El Doctor Carballo trabajó hasta la extenuación.
BAC1	El sindicato tenía otra idea.	El sindicato tenía otra idea.
BAC2	El gobierno conocía la corrupción existente.	El gobierno conocía la corrupción existente.
BAC3	La junta directiva cumplió lo acordado.	La junta directiva cumplió lo acordado. 
BAC4	La universidad denunció los hechos.	La universidad denunció los hechos.
BAC5	La empresa despidió a buena parte de sus trabajadores.	La empresa despidió a buena parte de sus trabajadores.
BAC6	La policía desalojó la zona.	La policía desalojó la zona.
BAC7	La academia presentó a sus nuevos miembros.	La academia presentó a sus nuevos miembros.
BAC8	El partido prohibió poner la bandera nacional en sus actos.	El partido prohibió poner la bandera nacional en sus actos.
BAC9	El instituto arrestó a los criminales.	El instituto arrestó a los criminales.
BAC10	El sindicato de la empresa tenía otra idea.	El sindicato de la empresa tenía otra idea.
BAC11	El gobierno nacional conocía la corrupción existente.	El gobierno nacional conocía la corrupción existente.
BAC12	La junta directiva del club cumplió lo acordado.	La junta directiva del club cumplió lo acordado. 
BAC13	La universidad madrileña denunció los hechos.	La universidad madrileña denunció los hechos.
BAC14	La empresa americana despidió a buena parte de sus trabajadores.	La empresa americana despidió a buena parte de sus trabajadores.
BAC15	La policía local desalojó la zona.	La policía local desalojó la zona.
BAC16	La academia de la lengua presentó a sus nuevos miembros.	La academia de la lengua presentó a sus nuevos miembros.
BAC17	El partido nacionalista prohibió poner la bandera nacional en sus actos.	El partido nacionalista prohibió poner la bandera nacional en sus actos.
BAC18	El instituto armado arrestó a los criminales.	El instituto armado arrestó a los criminales.
BAC19	Comisiones Obreras tenía otra idea.	Comisiones Obreras tenía otra idea.
BAC20	El gobierno español conocía la corrupción existente.	El gobierno español conocía la corrupción existente.
BAC21	La junta directiva del Real Madrid cumplió lo acordado.	La junta directiva del Real Madrid cumplió lo acordado.
BAC22	La UCM denunció los hechos.	La UCM denunció los hechos.
BAC23	Coca Cola despidió a buena parte de sus trabajadores.	Coca Cola despidió a buena parte de sus trabajadores.
BAC24	La policía local de Madrid desalojó la zona.	La policía local de Madrid desalojó la zona.
BAC25	La RAE presentó a sus nuevos miembros.	La RAE presentó a sus nuevos miembros.
BAC26	VOX prohibió poner la bandera nacional en sus actos.	VOX prohibió poner la bandera nacional en sus actos.
BAC27	La Guardia Civil arrestó a los criminales.	La Guardia Civil arrestó a los criminales.
INI1	El hijo no oyó que le estaban llamando.	Estaban llamando al hijo.
INI2	El presidente no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
INI3	El experto no creía que la tendencia había cambiado.	La tendencia había cambiado.
INI4	La periodista no sabía que la noticia era falsa.	La noticia era falsa.
INI5	El jugador no anunció que iba a cambiar de equipo.	El jugador iba a cambiar de equipo.
INI6	El entrenador no sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
INI7	La escritora no intuía que su nueva novela iba a tener éxito.	La nueva novela de la escritora iba a tener éxito.
INI8	El general no creyó que los ataques habían cesado.	Los ataques habían cesado.
INI9	El cantante no sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
INI10	El hijo de la actriz no oyó que le estaban llamando.	Estaban llamando al hijo de la actriz.
INI11	El presidente de España no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
INI12	El experto en epidemias no creía que la tendencia había cambiado.	La tendencia había cambiado.
INI13	La periodista de LaSexta no sabía que la noticia era falsa.	La noticia era falsa.
INI14	El jugador de fútbol no anunció que iba a cambiar de equipo.	El jugador de fútbol iba a cambiar de equipo.
INI15	El entrenador de fútbol no sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbrito.
INI16	La autora de literatura juvenil no intuía que su nueva novela iba a tener éxito.	La nueva novela de la autora de literatura juvenil iba a tener éxito.
INI17	El general británico no creyó que los ataques habían cesado.	Los ataques habían cesado.
INI18	El cantante cubano no sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
INI19	El hijo de Nicole Kidman no oyó que le estaban llamando.	Estaban llamando al hijo de Nicole Kidman.
INI20	José Luis Rodríguez Zapatero no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
INI21	Fernando Simón no creía que la tendencia había cambiado.	La tendencia había cambiado.
INI22	Ana Pastor no sabía que la noticia era falsa.	La noticia era falsa. 
INI23	Sergio Ramos no anunció que iba a cambiar de equipo.	Sergio Ramos iba a cambiar de equipo.
INI24	Julian Lopetegui no sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
