ID	PREMISE	HYPOTHESIS
INI1	El hijo no oyó que le estaban llamando.	Estaban llamando al hijo.
INI2	El presidente no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
INI3	El experto no creía que la tendencia había cambiado.	La tendencia había cambiado.
INI4	La periodista no sabía que la noticia era falsa.	La noticia era falsa.
INI5	El jugador no anunció que iba a cambiar de equipo.	El jugador iba a cambiar de equipo.
INI6	El entrenador no sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
INI7	La escritora no intuía que su nueva novela iba a tener éxito.	La nueva novela de la escritora iba a tener éxito.
INI8	El general no creyó que los ataques habían cesado.	Los ataques habían cesado.
INI9	El cantante no sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.

INI10	El hijo de la actriz no oyó que le estaban llamando.	Estaban llamando al hijo de la actriz.
INI11	El presidente de España no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
INI12	El experto en epidemias no creía que la tendencia había cambiado.	La tendencia había cambiado.
INI13	La periodista de LaSexta no sabía que la noticia era falsa.	La noticia era falsa.
INI14	El jugador de fútbol no anunció que iba a cambiar de equipo.	El jugador de fútbol iba a cambiar de equipo.
INI15	El entrenador de fútbol no sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbrito.
INI16	La autora de literatura juvenil no intuía que su nueva novela iba a tener éxito.	La nueva novela de la autora de literatura juvenil iba a tener éxito.
INI17	El general británico no creyó que los ataques habían cesado.	Los ataques habían cesado.
INI18	El cantante cubano no sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.

INI19	El hijo de Nicole Kidman no oyó que le estaban llamando.	Estaban llamando al hijo de Nicole Kidman.
INI20	José Luis Rodríguez Zapatero no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
INI21	Fernando Simón no creía que la tendencia había cambiado.	La tendencia había cambiado.
INI22	Ana Pastor no sabía que la noticia era falsa.	La noticia era falsa. 
INI23	Sergio Ramos no anunció que iba a cambiar de equipo.	Sergio Ramos iba a cambiar de equipo.
INI24	Julian Lopetegui no sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
INI25	J.K. Rowling no intuía que su nueva novela iba a tener éxito.	La nueva novela de J.K. Rowling iba a tener éxito.
INI26	Bernard Montgomery no creyó que los ataques habían cesado.	Los ataques habían cesado.
INI27	Maykel Osorbo no sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
