ID	PREMISE	HYPOTHESIS
BAC1	El sindicato tenía otra idea.	El sindicato tenía otra idea.
BAC2	El gobierno conocía la corrupción existente.	El gobierno conocía la corrupción existente.
BAC3	La junta directiva cumplió lo acordado.	La junta directiva cumplió lo acordado. 
BAC4	La universidad denunció los hechos.	La universidad denunció los hechos.
BAC5	La empresa despidió a buena parte de sus trabajadores.	La empresa despidió a buena parte de sus trabajadores.
BAC6	La policía desalojó la zona.	La policía desalojó la zona.
BAC7	La academia presentó a sus nuevos miembros.	La academia presentó a sus nuevos miembros.
BAC8	El partido prohibió poner la bandera nacional en sus actos.	El partido prohibió poner la bandera nacional en sus actos.
BAC9	El instituto arrestó a los criminales.	El instituto arrestó a los criminales.

BAC10	El sindicato de la empresa tenía otra idea.	El sindicato de la empresa tenía otra idea.
BAC11	El gobierno nacional conocía la corrupción existente.	El gobierno nacional conocía la corrupción existente.
BAC12	La junta directiva del club cumplió lo acordado.	La junta directiva del club cumplió lo acordado. 
BAC13	La universidad madrileña denunció los hechos.	La universidad madrileña denunció los hechos.
BAC14	La empresa americana despidió a buena parte de sus trabajadores.	La empresa americana despidió a buena parte de sus trabajadores.
BAC15	La policía local desalojó la zona.	La policía local desalojó la zona.
BAC16	La academia de la lengua presentó a sus nuevos miembros.	La academia de la lengua presentó a sus nuevos miembros.
BAC17	El partido nacionalista prohibió poner la bandera nacional en sus actos.	El partido nacionalista prohibió poner la bandera nacional en sus actos.
BAC18	El instituto armado arrestó a los criminales.	El instituto armado arrestó a los criminales.

BAC19	Comisiones Obreras tenía otra idea.	Comisiones Obreras tenía otra idea.
BAC20	El gobierno español conocía la corrupción existente.	El gobierno español conocía la corrupción existente.
BAC21	La junta directiva del Real Madrid cumplió lo acordado.	La junta directiva del Real Madrid cumplió lo acordado.
BAC22	La UCM denunció los hechos.	La UCM denunció los hechos.
BAC23	Coca Cola despidió a buena parte de sus trabajadores.	Coca Cola despidió a buena parte de sus trabajadores.
BAC24	La policía local de Madrid desalojó la zona.	La policía local de Madrid desalojó la zona.
BAC25	La RAE presentó a sus nuevos miembros.	La RAE presentó a sus nuevos miembros.
BAC26	VOX prohibió poner la bandera nacional en sus actos.	VOX prohibió poner la bandera nacional en sus actos.
BAC27	La Guardia Civil arrestó a los criminales.	La Guardia Civil arrestó a los criminales.
