ID	PREMISE	HYPOTHESIS
SNI1	El hijo no oyó que le estuvieran llamando.	Estaban llamando al hijo.
SNI2	El presidente no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
SNI3	El experto no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
SNI4	La periodista no sabía que la noticia fuera falsa.	La noticia era falsa.
SNI5	El jugador no anunció que fuera a cambiar de equipo.	El jugador iba a cambiar de equipo.
SNI6	El entrenador no sospechaba que el equipo contrario hubiera comprado al árbrito.	El equipo contrario había comprado al árbitro.
SNI7	La escritora no intuía que su nueva novela fuera a tener éxito.	La nueva novela de la escritora iba a tener éxito.
SNI8	El general no creyó que los ataques hubieran cesado.	Los ataques habían cesado.
SNI9	El cantante no sabía que la canción fuera a ser todo un éxito.	La canción iba a ser un éxito.

SNI10	El hijo de la actriz no oyó que le estuvieran llamando.	Estaban llamando al hijo de la actriz.
SNI11	El presidente de España no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
SNI12	El experto en epidemias no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
SNI13	La periodista de LaSexta no sabía que la noticia fuera falsa.	La noticia era falsa.
SNI14	El jugador de fútbol no anunció que fuera a cambiar de equipo.	El jugador de fútbol iba a cambiar de equipo.
SNI15	El entrenador de fútbol no sospechaba que el equipo contrario hubiera comprado al árbrito.	El equipo contrario había comprado al árbitro.
SNI16	La autora de literatura juvenil no intuía que su nueva novela fuera a tener éxito.	La nueva novela de la autora de literatura juvenil iba a tener éxito.
SNI17	El general británico no creyó que los ataques hubieran cesado.	Los ataques habían cesado.
SNI18	El cantante cubano no sabía que la canción fuera a ser todo un éxito.	La canción iba a ser un éxito.

SNI19	El hijo de Nicole Kidman no oyó que le estuvieran llamando.	Estaban llamando al hijo de Nicole Kidman.
SNI20	José Luis Rodríguez Zapatero no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
SNI21	Fernando Simón no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
SNI22	Ana Pastor no sabía que la noticia fuera falsa.	La noticia era falsa.
SNI23	Sergio Ramos no anunció que fuera a cambiar de equipo.	Sergio Ramos iba a cambiar de equipo.
SNI24	Julian Lopetegui no sospechaba que el equipo contrario hubiera comprado al árbrito.	El equipo contrario había comprado al árbitro.
SNI25	J.K. Rowling no intuía que su nueva novela fuera a tener éxito.	La nueva novela de J.K. Rowling iba a tener éxito.
SNI26	Bernard Montgomery no creyó que los ataques hubieran cesado.	Los ataques habían cesado.
SNI27	Maykel Osorbo no sabía que la canción fuera a ser todo un éxito.	La canción iba a ser un éxito.
