SOURCE	ID	PREMISE	HYPOTHESIS
PRETEST	SNI1	El hijo no oyó que le estuvieran llamando.	Estaban llamando al hijo.
PRETEST	SNI2	El presidente no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
PRETEST	SNI3	El experto no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
PRETEST	SNI4	La periodista no sabía que la noticia fuera falsa.	La noticia era falsa.
PRETEST	SNI5	El jugador no anunció que fuera a cambiar de equipo.	El jugador iba a cambiar de equipo.
PRETEST	SNI6	El entrenador no sospechaba que el equipo contrario hubiera comprado al árbrito.	El equipo contrario había comprado al árbitro.
PRETEST	SNI7	La escritora no intuía que su nueva novela fuera a tener éxito.	La nueva novela de la escritora iba a tener éxito.
PRETEST	SNI8	El general no creyó que los ataques hubieran cesado.	Los ataques habían cesado.
PRETEST	SNI9	El cantante no sabía que la canción fuera a ser todo un éxito.	La canción iba a ser un éxito.
PRETEST	SNI10	El hijo de la actriz no oyó que le estuvieran llamando.	Estaban llamando al hijo de la actriz.
PRETEST	SNI11	El presidente de España no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
PRETEST	SNI12	El experto en epidemias no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
PRETEST	SNI13	La periodista de LaSexta no sabía que la noticia fuera falsa.	La noticia era falsa.
PRETEST	SNI14	El jugador de fútbol no anunció que fuera a cambiar de equipo.	El jugador de fútbol iba a cambiar de equipo.
PRETEST	SNI15	El entrenador de fútbol no sospechaba que el equipo contrario hubiera comprado al árbrito.	El equipo contrario había comprado al árbitro.
PRETEST	SNI16	La autora de literatura juvenil no intuía que su nueva novela fuera a tener éxito.	La nueva novela de la autora de literatura juvenil iba a tener éxito.
PRETEST	SNI17	El general británico no creyó que los ataques hubieran cesado.	Los ataques habían cesado.
PRETEST	SNI18	El cantante cubano no sabía que la canción fuera a ser todo un éxito.	La canción iba a ser un éxito.
PRETEST	SNI19	El hijo de Nicole Kidman no oyó que le estuvieran llamando.	Estaban llamando al hijo de Nicole Kidman.
PRETEST	SNI20	José Luis Rodríguez Zapatero no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
PRETEST	SNI21	Fernando Simón no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
PRETEST	SNI22	Ana Pastor no sabía que la noticia fuera falsa.	La noticia era falsa.
PRETEST	SNI23	Sergio Ramos no anunció que fuera a cambiar de equipo.	Sergio Ramos iba a cambiar de equipo.
PRETEST	SNI24	Julian Lopetegui no sospechaba que el equipo contrario hubiera comprado al árbrito.	El equipo contrario había comprado al árbitro.
PRETEST	SNI25	J.K. Rowling no intuía que su nueva novela fuera a tener éxito.	La nueva novela de J.K. Rowling iba a tener éxito.
PRETEST	SNI26	Bernard Montgomery no creyó que los ataques hubieran cesado.	Los ataques habían cesado.
PRETEST	SNI27	Maykel Osorbo no sabía que la canción fuera a ser todo un éxito.	La canción iba a ser un éxito.
QUIJOTE	SNI28	Lotario: No creo que sea tan bueno como el primero.	Es tan bueno como el primero.
XNLI	SNI29	Bin Laden no sabía que el FBI hubiera retenido a Moussaoui.	El FBI había retenido a Moussaoui. 
XNLI	SNI30	Bin Laden no sabía que Moussaoui hubiera sido detenido.	Moussaoui había sido detenido.
XNLI	SNI31	Los operadores no sabían que los rescates en techos fueran imposibles.	Los rescates en techos eran imposibles. 
OLD_NEWS	SNI32	La protagonista de esta apasionante historia no sospecha que este encuentro sea tan sólo una pieza en el malvado plan Toribio.	Este encuentro es tan sólo una pieza en el malvado plan Toribio. 
OLD_NEWS	SNI33	La persona no me declaró que eso fuera una iglesia.	Eso era una iglesia.
