ID	PREMISE	HYPOTHESIS
BAI1	El presidente dijo la verdad.	El presidente dijo la verdad.
BAI2	El futbolista conocía todas las condiciones del contrato.	El futbolista conocía todas las condiciones del contrato.
BAI3	La madre tenía la solución.	La madre tenía la solución.
BAI4	El director desconocía el historial del actor.	El director desconocía el historial del actor.
BAI5	El actor olvidó el guión.	El actor olvidó el guión.
BAI6	La mujer sospechaba de su marido.	La mujer sospechaba de su marido.
BAI7	El alcalde tenía las llaves de la ciudad.	El alcalde tenía las llaves de la ciudad.
BAI8	El empresario ayudó al gobierno.	El empresario ayudó al gobierno.
BAI9	El médico trabajó hasta la extenuación.	El médico trabajó hasta la extenuación.

BAI10	El presidente del gobierno dijo la verdad.	El presidente del gobierno dijo la verdad.
BAI11	El futbolista del PSG conocía todas las condiciones del contrato.	El futbolista del PSG conocía todas las condiciones del contrato.
BAI12	La madre del famoso tenía la solución.	La madre del famoso tenía la solución.
BAI13	El director español desconocía el historial del actor.	El director español desconocía el historial del actor.
BAI14	El actor español olvidó el guión.	El actor español olvidó el guión.
BAI15	La mujer del futbolista sospechaba de su marido.	La mujer del futbolista sospechaba de su marido.
BAI16	El alcalde de Madrid tenía las llaves de la ciudad.	El alcalde de Madrid tenía las llaves de la ciudad.
BAI17	El empresario español ayudó al gobierno.	El empresario español ayudó al gobierno.
BAI18	El médico italiano trabajó hasta la extenuación.	El médico italiano trabajó hasta la extenuación.

BAI19	José Luis Rodríguez Zapatero dijo la verdad.	José Luis Rodríguez Zapatero dijo la verdad.
BAI20	Sergio Ramos conocía todas las condiciones del contrato.	Sergio Ramos conocía todas las condiciones del contrato.
BAI21	La madre de Ronaldinho tenía la solución.	La madre de Ronaldinho tenía la solución.
BAI22	Alejandro Amenábar desconocía el historial del actor.	Alejandro Amenábar desconocía el historial del actor.
BAI23	Antonio Banderas olvidó el guión.	Antonio Banderas olvidó el guión.
BAI24	La mujer de Xabi Alonso sospechaba de su marido.	La mujer de Xabi Alonso sospechaba de su marido.
BAI25	José Luis Martínez-Almeida tenía las llaves de la ciudad.	José Luis Martínez-Almeida tenía las llaves de la ciudad.
BAI26	Amancio Ortega ayudó al gobierno.	Amancio Ortega ayudó al gobierno.
BAI27	El doctor Carballo trabajó hasta la extenuación.	El Doctor Carballo trabajó hasta la extenuación.
