SOURCE	ID	PREMISE	HYPOTHESIS
PRETEST	INI1	El hijo no oyó que le estaban llamando.	Estaban llamando al hijo.
PRETEST	INI2	El presidente no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
PRETEST	INI3	El experto no creía que la tendencia había cambiado.	La tendencia había cambiado.
PRETEST	INI4	La periodista no sabía que la noticia era falsa.	La noticia era falsa.
PRETEST	INI5	El jugador no anunció que iba a cambiar de equipo.	El jugador iba a cambiar de equipo.
PRETEST	INI6	El entrenador no sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
PRETEST	INI7	La escritora no intuía que su nueva novela iba a tener éxito.	La nueva novela de la escritora iba a tener éxito.
PRETEST	INI8	El general no creyó que los ataques habían cesado.	Los ataques habían cesado.
PRETEST	INI9	El cantante no sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
PRETEST	INI10	El hijo de la actriz no oyó que le estaban llamando.	Estaban llamando al hijo de la actriz.
PRETEST	INI11	El presidente de España no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
PRETEST	INI12	El experto en epidemias no creía que la tendencia había cambiado.	La tendencia había cambiado.
PRETEST	INI13	La periodista de LaSexta no sabía que la noticia era falsa.	La noticia era falsa.
PRETEST	INI14	El jugador de fútbol no anunció que iba a cambiar de equipo.	El jugador de fútbol iba a cambiar de equipo.
PRETEST	INI15	El entrenador de fútbol no sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbrito.
PRETEST	INI16	La autora de literatura juvenil no intuía que su nueva novela iba a tener éxito.	La nueva novela de la autora de literatura juvenil iba a tener éxito.
PRETEST	INI17	El general británico no creyó que los ataques habían cesado.	Los ataques habían cesado.
PRETEST	INI18	El cantante cubano no sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
PRETEST	INI19	El hijo de Nicole Kidman no oyó que le estaban llamando.	Estaban llamando al hijo de Nicole Kidman.
PRETEST	INI20	José Luis Rodríguez Zapatero no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
PRETEST	INI21	Fernando Simón no creía que la tendencia había cambiado.	La tendencia había cambiado.
PRETEST	INI22	Ana Pastor no sabía que la noticia era falsa.	La noticia era falsa. 
PRETEST	INI23	Sergio Ramos no anunció que iba a cambiar de equipo.	Sergio Ramos iba a cambiar de equipo.
PRETEST	INI24	Julian Lopetegui no sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
PRETEST	INI25	J.K. Rowling no intuía que su nueva novela iba a tener éxito.	La nueva novela de J.K. Rowling iba a tener éxito.
PRETEST	INI26	Bernard Montgomery no creyó que los ataques habían cesado.	Los ataques habían cesado.
PRETEST	INI27	Maykel Osorbo no sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
QUIJOTE	INI28	Lotario:  No creo que es tan bueno como el primero.	Es tan bueno como el primero.
XNLI	INI29	Bin Laden no sabía que el FBI había retenido a Moussaoui.	El FBI había retenido a Moussaoui. 
XNLI	INI30	Bin Laden no sabía que Moussaoui había sido detenido.	Moussaoui había sido detenido.
XNLI	INI31	Los operadores no sabían que los rescates en techos eran imposibles.	Los rescates en techos eran imposibles. 
OLD_NEWS	INI32	La protagonista de esta apasionante historia no sospecha que este encuentro es tan sólo una pieza en el malvado plan Toribio.	Este encuentro es tan sólo una pieza en el malvado plan Toribio. 
OLD_NEWS	INI33	La persona no me declaró que eso era una iglesia.	Eso era una iglesia.
OLD_NEWS	INI34	El hombrón no duda que es una carta segura de hits bailables para 2011.	Es una carta segura de hits bailables para 2011.  
OLD_NEWS	INI35	Algunos lectores no entendían que se trataba, precisamente, de una crítica a la banalidad.	Precisamente se trataba de una crítica a la banalidad. 
OLD_NEWS	INI36	Un caminante distraído no hubiera advertido que allí se ocultaba un sofisticado equipo transmisor.	Allí se ocultaba un sofisticado equipo transmisor. 
OLD_NEWS	INI37	El lobisón no sabe que todo aquello es más una pieza en el malvado plan de Toribio.	Todo aquello es más una pieza en el malvado plan de Toribio.
OLD_NEWS	INI38	Jorge Chávez no sabía que lo peor estaba por venir.	Lo peor estaba por venir.
OLD_NEWS	INI39	Manassero no olvidó que la hijita se llama Micaela.	La hijita se llama Micaela. 
OLD_NEWS	INI40	Los críticos de las acciones niponas no dudan que se trata la mejor excusa para cubrir una caza comercial prohibida por comunidad internacional.	Se trata la mejor excusa para cubrir una caza comercial prohibida por comunidad internacional. 
OLD_NEWS	INI41	Lapiedra no sabía que la joven colombiana era menor de edad.	La joven colombiana era menor de edad. 
OLD_NEWS	INI42	Francisco Macri no pensaba que iba a ser cabeza de una de las familias industriales más grandes y poderosas el país.	Francisco Macri iba a ser cabeza de una de las familias industriales más grandes y poderosas el país. 
OLD_NEWS	INI43	El espectador casual no sabía que estaba viendo la primera experiencia de FlashMob en el país.	El espectador estaba viendo la primera experiencia de FlashMob en el país. 
OLD_NEWS	INI44	El 90% de los padres de niños con sobrepeso no aceptan que sus hijos tienen un problema.	Los niños con sobrepeso tienen un problema.
UN_2000	INI45	Según las investigaciones, el policía no había podido ver que Baduan estaba desarmado.	Baduan estaba desarmado. 
UN_2000	INI46	Algunos representantes no van a creer que el ex Rey de Libia antes de 1969 era de Mustaghanem, Argelia.	El ex Rey de Libia antes de 1969 era de Mustaghanem, Argelia . 
UN_2000	INI47	Algunos representantes aquí presentes no saben que el ex Presidente de Túnez era natural de Libia.	El ex Presidente de Túnez era natural de Libia.
UN_2000	INI48	Más del 90% de los africanos infectados no saben que son portadores la enfermedad.	Más del 90% de los africanos son portadores de la enfermedad.
UN_2000	INI49	Algunos delegados gubernamentales no saben que también las mujeres son seres humanos.	Las mujeres son seres humanos. 
UN_2000	INI50	Sin embargo, Sutton no ha probado que había pagado los honorarios.	Sutton había pagado los honorarios.
UN_2000	INI51	La mayor parte de los interlocutores de la misión no dudaban que el Presidente Taylor ejercía una gran influencia e incluso control directo sobre FRU.	El Presidente Taylor ejercía una gran influencia e incluso control directo sobre FRU. 
UN_2000	INI52	En relación con los gastos del viaje a la India y Manila, Taisei no ha demostrado que esos son gastos temporales extraordinarios.	Los gastos del viaje a la India y Manila son gastos temporales extraordinarios.
UN_2000	INI53	Los familiares de los muertos no sabían que habían sido enterrados en el lote 29.	Los muertos habían sido enterrados en el lote 29.
OLD_NEWS	INI54	Entonces naturalmente Isabella no sabía que la película iba a tener tal éxito.	La película iba a tener tal éxito.
OLD_NEWS	INI55	Gordon-Levitt no sentía que estaba interpretando a Will.	Gordon-Levitt estaba interpretando a Will.
OLD_NEWS	INI56	Santos no mencionó que la carta de los presidentes del Consejo de Estado y de la Corte está llena de lugares comunes y sin ningún argumento jurídico.	La carta de los presidentes del Consejo de Estado y de la Corte está llena de lugares comunes y sin ningún argumento jurídico.
OLD_NEWS	INI57	Stephanie no sabe que se había metido en un lío.	Stephanie se había metido en un lío.
OLD_NEWS	INI58	Humala no ha dicho que el modelo económico debe mantenerse intacto, sin cambios.	El modelo económico debe mantenerse intacto, sin cambios.
OLD_NEWS	INI59	Arias no consideró que era falta.	Era falta.
OLD_NEWS	INI60	Yilmaz no puede considerar que se ha producido una violación de la Convención.	Se ha producido una violación de la Convención.
UN_2000	INI61	El Presidente Shevardnadze: No puedo ocultar que la realidad del mundo de hoy nos decepciona en cierta manera.	La realidad del mundo de hoy les decepciona en cierta manera.
UN_2000	INI62	El Secretario General: No quiero decir que esta Organización debe ser capaz de ganar por sí sola todas estas batallas.	Esta Organización debe ser capaz de ganar por sí sola todas estas batallas.
UN_2001	INI63	Los autores no han demostrado satisfactoriamente que corren un riesgo mayor que cualquier otro tamil residente en Colombo.	Los autores corren un riesgo mayor que cualquier otro tamil residente en Colombo. 
UN_2001	INI64	Más del 80% de los infectados no saben que son portadores del VIH/SIDA.	Ellos son portadores del VIH/SIDA.
UN_2002	INI65	El representante de Israel no puede entender que Israel es una potencia ocupante.	Israel es una potencia ocupante.
UN_2002	INI66	En ese momento, el autor no sabía que su primo había sido ejecutado.	El primo del autor había sido ejecutado.
UN_2002	INI67	La Representante Especial no puede ignorar que la guerrilla viola los derechos de los defensores de los derechos humanos.	La guerrilla viola los derechos de los defensores de los derechos humanos. 
UN_2002	INI68	Miembros del Grupo Especial: Sobre la base de esos hechos no podemos concluir que las Comunidades Europeas exploraron las posibilidades de hacer uso de soluciones constructivas.	Las Comunidades Europeas exploraron las posibilidades de hacer uso de soluciones constructivas.
UN_2002	INI69	Miembros de la delegación de Viet Nam: No consideramos que hay que reconocer debidamente la necesidad de mejorar los procedimientos de trabajo.	Hay que reconocer debidamente la necesidad de mejorar los procedimientos de trabajo.
DAVES	INI70	El periodista no sospechaba que el actor español Willy Toledo tenía en planes quedarse a vivir en Cuba.	El actor español Willy Toledo tenía en planes quedarse a vivir en Cuba.
DAVES	INI71	Los profesores no podrán decir que el chico es tonto.	El chico es tonto.
OLD_NEWS	INI72	La conductora no sabía que las fotos del desnudo de Susana estaban en internet.	Las fotos del desnudo de Susana estaban en internet. 
OLD_NEWS	INI73	Los abogados: No creemos que una persona amenazada o con problemas iba a andar así.	Una persona amenazada o con problemas iba a andar así
UN_2000	INI74	Miembro dde la Red del Tercer Mundo: No estamos negando que en el Norte de África han aumentado las desigualdades.	En el Norte de África han aumentado las desigualdades.
UN_2000	INI75	Algunos no saben que una parte de la familia o clan del Presidente del Chad vive en el Chad.	Una parte de la familia o clan del Presidente del Chad vive en el Chad.
UN_2000	INI76	El autor no puede pretender que es víctima de violación de sus derechos conforme al párrafo 4 del artículo 6 del Pacto.	El autor es víctima de violación de sus derechos conforme al párrafo 4 del artículo 6 del Pacto.
UN_2000	INI77	¿Acaso no sabe el Sr. Bustani que Israel está armado hasta los dientes con armas nucleares y con las aeronaves y los tanques más avanzados?	Israel está armado hasta los dientes con armas nucleares y con las aeronaves y los tanques más avanzados.
UN_2002	INI78	¿Acaso no sabemos todos que cada persona es un microcosmos?	Cada persona es un microcosmos.
UN_2002	INI79	Los autores del informe no mencionan que sólo recursos internos de naturaleza judicial penal pueden ser entendidos como recursos efectivos.	Sólo recursos internos de naturaleza judicial penal pueden ser entendidos como recursos efectivos.
UN_2001	INI80	Los reclamantes no demostraron que existían circunstancias justificantes de fundadas esperanzas de realizar otras actividades del mismo carácter.	 Existían circunstancias justificantes de fundadas esperanzas de realizar otras actividades del mismo carácter.
