ID	Length premise	Length hypothesis
BNI1	7	4
BNI2	9	5
BNI3	8	4
BNI4	8	4
BNI5	9	7
BNI6	11	7
BNI7	11	10
BNI8	8	4
BNI9	12	7
BNI10	10	7
BNI11	11	5
BNI12	10	4
BNI13	10	4
BNI14	11	9
BNI15	13	7
BNI16	14	13
BNI17	9	4
BNI18	13	7
BNI19	10	7
BNI20	11	5
BNI21	8	4
BNI22	8	4
BNI23	9	7
BNI24	11	7
BNI25	11	10
BNI26	8	4
BNI27	12	7
BNI28	9	6
BNI29	10	7
BNI30	8	4
BNI31	10	7
BNI32	20	13
BNI33	9	4
BNI34	13	11
BNI35	13	10
BNI36	13	8
BNI37	16	12
BNI38	9	5
BNI39	8	6
BNI40	22	15
BNI41	10	8
BNI42	20	19
BNI43	15	13
BNI44	16	7
BNI45	12	4
BNI46	18	14
BNI47	15	9
BNI48	13	11
BNI49	11	6
BNI50	10	5
BNI51	24	14
BNI52	21	13
BNI53	14	9
BNI54	12	7
BNI55	7	5
BNI56	26	23
BNI57	9	7
BNI58	12	8
BNI59	5	2
BNI60	12	8
BNI61	17	11
BNI62	19	13
BNI63	17	14
BNI64	12	5
BNI65	12	5
BNI66	12	7
BNI67	18	13
BNI68	25	12
BNI69	21	12
BNI70	17	13
BNI71	9	4
BNI72	13	10
BNI73	14	10
BNI74	19	9
BNI75	18	15
BNI76	21	18
BNI77	24	18
BNI78	9	5
BNI79	19	13
BNI80	17	14
BNI81	21	16
BNI82	16	7
BNI83	19	15
BNI84	16	13
BNI85	10	4
BNI86	16	10
BNI87	9	5
BNI88	16	9
BNI89	16	9
BNI90	11	6
BNC1	9	5
BNC2	10	4
BNC3	8	4
BNC4	13	9
BNC5	7	5
BNC6	10	6
BNC7	12	8
BNC8	9	7
BNC9	12	6
BNC10	10	5
BNC11	12	4
BNC12	9	4
BNC13	17	9
BNC14	8	6
BNC15	11	6
BNC16	15	8
BNC17	11	9
BNC18	11	6
BNC19	10	5
BNC20	13	4
BNC21	8	4
BNC22	15	8
BNC23	9	7
BNC24	10	6
BNC25	12	8
BNC26	12	10
BNC27	9	6
BNC28	8	4
BNC29	10	3
BNC30	25	17
BNC31	21	19
BNC32	23	14
BNC33	17	13
BNC34	19	14
BNC35	27	14
BNC36	10	4
BNC37	23	15
BNC38	19	15
BNC39	11	5
BNC40	27	21
BNC41	19	16
BNC42	9	5
BNC43	12	10
BNC44	8	4
BNC45	18	14
BNC46	29	23
BNC47	28	23
BNC48	11	5
BNC49	17	7
BNC50	13	7
BNC51	13	10
BNC52	19	12
BNC53	20	13
BNC54	8	5
BNC55	18	12
BNC56	11	7
BNC57	22	17
BNC58	15	9
BNC59	14	10
BNC60	17	12
BNC61	10	6
BNC62	16	11
BNC63	10	6
BNC64	15	11
BNC65	17	12
BNC66	25	22
BNC67	18	13
BNC68	10	5
BNC69	21	19
BNC70	25	20
BNC71	16	11
BNC72	18	13
BNC73	26	22
BNC74	18	11
BNC75	22	15
BNC76	22	14
BNC77	23	15
BNC78	12	11
BNC79	13	6
BNC80	25	23
BNC81	12	8
BNC82	21	16
BNC83	20	15
BNC84	19	14
BNC85	11	9
BNC86	18	14
BNC87	13	10
BNC88	19	12
BNC89	21	15
BNC90	15	8
INI1	8	4
INI2	10	5
INI3	9	4
INI4	9	4
INI5	10	7
INI6	12	7
INI7	12	10
INI8	9	4
INI9	13	7
INI10	11	7
INI11	12	5
INI12	11	4
INI13	11	4
INI14	12	9
INI15	14	7
INI16	15	13
INI17	10	4
INI18	14	7
INI19	11	7
INI20	12	5
INI21	9	4
INI22	9	5
INI23	10	7
INI24	12	7
INI25	12	10
INI26	9	4
INI27	13	7
INI28	11	6
INI29	11	7
INI30	9	4
INI31	11	7
INI32	21	13
INI33	10	4
INI34	14	11
INI35	14	10
INI36	14	8
INI37	17	12
INI38	10	5
INI39	9	6
INI40	23	15
INI41	11	8
INI42	21	19
INI43	16	13
INI44	17	7
INI45	13	4
INI46	19	14
INI47	16	9
INI48	14	11
INI49	12	6
INI50	11	5
INI51	25	14
INI52	22	13
INI53	15	9
INI54	13	7
INI55	8	5
INI56	27	23
INI57	10	7
INI58	13	8
INI59	6	2
INI60	13	8
INI61	18	11
INI62	20	13
INI63	18	14
INI64	13	5
INI65	13	5
INI66	13	7
INI67	19	13
INI68	26	12
INI69	22	12
INI70	18	13
INI71	10	4
INI72	14	10
INI73	15	10
INI74	20	9
INI75	19	15
INI76	22	18
INI77	25	18
INI78	10	5
INI79	20	13
INI80	18	14
INI81	22	16
INI82	17	7
INI83	20	15
INI84	17	13
INI85	11	4
INI86	17	10
INI87	10	5
INI88	17	9
INI89	17	9
INI90	12	6
INC1	10	5
INC2	11	4
INC3	9	4
INC4	14	9
INC5	8	5
INC6	11	6
INC7	13	8
INC8	10	7
INC9	13	6
INC10	11	5
INC11	13	4
INC12	10	4
INC13	18	8
INC14	9	6
INC15	12	6
INC16	16	8
INC17	12	9
INC18	12	6
INC19	11	5
INC20	14	4
INC21	9	4
INC22	16	9
INC23	10	7
INC24	11	6
INC25	13	8
INC26	13	10
INC27	10	6
INC28	9	4
INC29	11	3
INC30	26	17
INC31	22	19
INC32	23	14
INC33	18	13
INC34	20	14
INC35	28	14
INC36	11	4
INC37	24	15
INC38	20	15
INC39	12	5
INC40	28	21
INC41	20	16
INC42	10	5
INC43	13	10
INC44	9	4
INC45	19	14
INC46	30	23
INC47	29	23
INC48	12	5
INC49	18	7
INC50	14	7
INC51	14	10
INC52	20	12
INC53	21	13
INC54	9	5
INC55	19	11
INC56	12	7
INC57	23	17
INC58	16	9
INC59	15	10
INC60	18	12
INC61	11	6
INC62	17	11
INC63	11	6
INC64	16	11
INC65	18	12
INC66	26	23
INC67	19	13
INC68	11	5
INC69	22	19
INC70	26	20
INC71	17	11
INC72	19	13
INC73	27	22
INC74	19	11
INC75	23	15
INC76	23	14
INC77	24	15
INC78	13	11
INC79	14	6
INC80	26	23
INC81	13	8
INC82	22	16
INC83	21	15
INC84	20	14
INC85	12	9
INC86	19	14
INC87	14	10
INC88	20	12
INC89	22	15
INC90	16	8
SNI1	8	4
SNI2	10	5
SNI3	9	4
SNI4	9	4
SNI5	10	7
SNI6	12	7
SNI7	12	10
SNI8	9	4
SNI9	13	7
SNI10	11	7
SNI11	12	5
SNI12	11	4
SNI13	11	4
SNI14	12	9
SNI15	14	7
SNI16	15	13
SNI17	10	4
