ID	PREMISE
1	El gobierno dijo que el país tenía problemas económicos.
2	El comité de expertos creía que la tendencia había cambiado.
3	El periódico sabía que la noticia era falsa.
4	La junta directiva pensó que la reunión con los abogados había ido bien. 
5	La familia anunció que había recortado gastos.
6	La universidad anunció que las clases iban a ser presenciales.
7	El sindicato sospechaba que el gobierno no iba a cumplir lo acordado.
8	El ministerio comunicó que iba a implementar nuevas medidas.
9	El canal de televisión anunció que la periodista iba a ser despedida.

