ID	PREMISE	HYPOTHESIS
IAI1	Quizás el presidente dijo la verdad.	El presidente dijo la verdad.
IAI2	Tal vez el futbolista conocía todas las condiciones del contrato.	El futbolista conocía todas las condiciones del contrato.
IAI3	Probablemente la madre tenía la solución.	La madre tenía la solución.
IAI4	Quizás el director desconocía el historial del actor.	El director desconocía el historial del actor.
IAI5	Tal vez el actor olvidó el guión.	El actor olvidó el guión.
IAI6	Probablemente la mujer sospechaba de su marido.	La mujer sospechaba de su marido.
IAI7	Seguramente el alcalde tenía las llaves de la ciudad.	El alcalde tenía las llaves de la ciudad.
IAI8	Posiblemente el empresario ayudó al gobierno.	El empresario ayudó al gobierno.
IAI9	Posiblemente el médico trabajó hasta la extenuación.	El médico trabajó hasta la extenuación.

IAI10	Quizás el presidente del gobierno dijo la verdad.	El presidente del gobierno dijo la verdad.
IAI11	Tal vez el futbolista del PSG conocía todas las condiciones del contrato.	El futbolista del PSG conocía todas las condiciones del contrato.
IAI12	Probablemente la madre del famoso tenía la solución.	La madre del famoso tenía la solución.
IAI13	Quizás el director español desconocía el historial del actor.	El director español desconocía el historial del actor.
IAI14	Tal vez el actor español olvidó el guión.	El actor español olvidó el guión.
IAI15	Probablemente la mujer del futbolista sospechaba de su marido.	La mujer del futbolista sospechaba de su marido.
IAI16	Seguramente el alcalde de Madrid tenía las llaves de la ciudad.	El alcalde de Madrid tenía las llaves de la ciudad.
IAI17	Posiblemente el empresario español ayudó al gobierno.	El empresario español ayudó al gobierno.
IAI18	Posiblemente el médico italiano trabajó hasta la extenuación.	El médico italiano trabajó hasta la extenuación.

IAI19	Quizás José Luis Rodríguez Zapatero dijo la verdad.	José Luis Rodríguez Zapatero dijo la verdad.
IAI20	Tal vez Sergio Ramos conocía todas las condiciones del contrato.	Sergio Ramos conocía todas las condiciones del contrato.
IAI21	Probablemente la madre de Ronaldinho tenía la solución.	La madre de Ronaldinho tenía la solución.
IAI22	Quizás Alejandro Amenábar desconocía el historial del actor.	Alejandro Amenábar desconocía el historial del actor.
IAI23	Tal vez Antonio Banderas olvidó el guión.	Antonio Banderas olvidó el guión.
IAI24	Probablemente la mujer de Xabi Alonso sospechaba de su marido.	La mujer de Xabi Alonso sospechaba de su marido.
IAI25	Seguramente José Luis Martínez-Almeida tenía las llaves de la ciudad.	José Luis Martínez-Almeida tenía las llaves de la ciudad.
IAI26	Posiblemente Amancio Ortega ayudó al gobierno.	Amancio Ortega ayudó al gobierno.
IAI27	Posiblemente el doctor Carballo trabajó hasta la extenuación.	El Doctor Carballo trabajó hasta la extenuación.
